segment,component,parameter,value,unit,low,high,basis,source_id,tag,notes
common,h2,lower_heating_value,33.333,kWh/kg,,,"120 MJ/kg / 3.6; energy basis for every efficiency in this table",,needs-source,"mirrors data/properties/lh2-properties.csv; pending NIST/ISO citation approval (docs/memory.md open item 4)"
common,nh3,lower_heating_value,5.167,kWh/kg,,,"18.6 MJ/kg / 3.6",,ESTIMATE,"standard published value; no citation logged in references.csv [ESTIMATE - needs source]"
common,stoichiometry,nh3_per_h2_mass_ratio,5.632,kg/kg,,,"N2 + 3 H2 -> 2 NH3; (2 x 17.031)/(3 x 2.016)",,ASSUMPTION,"first-principles from standard molar masses M(NH3)=17.031 g/mol, M(H2)=2.016 g/mol; the molar masses themselves are standard values with no citation logged [needs-source: IUPAC/CODATA]"
common,stoichiometry,h2_mass_fraction_in_nh3,17.75,%,,,"6.048/34.062, same basis as nh3_per_h2_mass_ratio",,ASSUMPTION,"derived; used to convert NH3 mass back to H2-equivalent"
common,nh3,cracking_reaction_enthalpy,45.9,kJ/mol,,,"2 NH3 -> N2 + 3 H2 at 298 K, per mol NH3 (endothermic)",,needs-source,"standard formation-enthalpy magnitude; no citation logged. Implies 15.2 MJ per kg H2 = 4.22 kWh/kg-H2 as the thermodynamic floor for cracker heat"
common,corridor,voyage_distance,6000,km,,,"one-way laden leg, generic basis",,ASSUMPTION,"placeholder; no named corridor fixed yet (decision D1, docs/comparison/00-milestones.md)"
production,electrolyser,specific_energy_consumption,60,kWh/kg,,,"node A; electrical input at battery limit per kg H2 produced, GH2 at 30 barg / 30 C",,ASSUMPTION,"user-specified worked-example default (2026-09-01). Production sits outside KHI's LH2 scope, so no in-repo sourced figure exists. Shared by both chains."
liquefaction,liquefier,specific_energy_consumption,9,kWh/kg,8,9,"node B1; per kg H2 liquefied",kawasaki-2026-questionnaire,cited,"default is the top of KHI's disclosed 8-9 kWh/kg range (conservative); reply Q1"
liquefaction,liquefier,hydrogen_loss,0,%,,,"node B1",kawasaki-2026-questionnaire,cited,"KHI reply Q15: no H2 losses in the LH2 plant concept under consideration"
loading_terminal,lh2_export_terminal,boil_off_rate_at_rest,0.1,%/day,,,"node C1; at-rest LH2 storage",kawasaki-2026-supplemental,cited,"BOR 0.1 %/d on KHI cost-basis slide"
loading_terminal,lh2_export_terminal,storage_days,5,day,,,"node C1; average inventory hold time",,ASSUMPTION,"placeholder hold time; drives BOG mass and therefore BOG-management energy"
loading_terminal,lh2_export_terminal,bog_reliquefaction_sec,3.94,kWh/kg,,,"node C1/E1; per kg LH2 BOG re-liquefied = 0.438 x liquefaction SEC",,ASSUMPTION,"derived: scales the liquefaction SEC by the ratio of BOG condensation-only ideal work (1.71 kWh/kg) to fresh-feed para-basis ideal work (3.9 kWh/kg), i.e. assumes BOG handling shares the main liquefier's exergetic efficiency. See data/properties/liquefaction.csv and src/lh2/scenario.py BOG_SEC_RATIO. KHI discloses no separate BOG SEC."
loading_terminal,lh2_export_terminal,bog_disposition,re-liquefied,,,,"node C1",kawasaki-2026-questionnaire,cited,"KHI reply Q3: terminal BOG is re-liquefied -> energy penalty, not mass loss"
shipping,lh2_carrier,service_speed,29.6,km/h,,,"node D1; ~16 knots design velocity",kawasaki-2026-supplemental,cited,"160 000 m3 commercial-scale target vessel"
shipping,lh2_carrier,voyage_boil_off_rate,0.2,%/day,,,"node D1; laden leg",,ESTIMATE,"KHI discloses no standalone voyage BOR (reply Q23 only states fuel-gas consumption rate = BOR). Placeholder, NOT the 0.1 %/d at-rest terminal figure. research/ holds an unpromoted public figure of ~3.44 %/day (RSER 2026) - deliberately not used here pending promotion approval."
shipping,lh2_carrier,bog_disposition,burned as propulsion fuel,,,,"node D1",kawasaki-2026-questionnaire,cited,"KHI reply Q23/Q33: BOG feeds a dual-fuel engine, no onboard re-liquefaction -> voyage BOG leaves the chain as H2 mass loss, not as an electrical penalty"
regas,lh2_import_terminal,boil_off_rate_at_rest,0.1,%/day,,,"node E1; at-rest LH2 storage",kawasaki-2026-supplemental,cited,"BOR 0.1 %/d, receiving side"
regas,lh2_import_terminal,storage_days,5,day,,,"node E1; average inventory hold time",,ASSUMPTION,"placeholder hold time"
regas,lh2_vaporiser,regas_heat_duty,3.8,MJ/kg,,,"node F1; per kg LH2 vaporised, ORV seawater heat",kawasaki-2026-questionnaire,cited,"KHI reply Q18. Ambient seawater heat - a thermal duty, not purchased energy; reported separately from the electrical penalty"
regas,lh2_vaporiser,electrical_energy,0.031,kWh/kg,,,"node F1; cryogenic pump to 30 barg send-out + ORV seawater circulation pump",,ASSUMPTION,"derived first-principles at the default send-out spec (30 barg / 30 C, seawater dT 5 C, head 20 m, pump efficiencies 70%/75%). Same derivation as docs/reports/khi-lh2-reliq-shipping-regas-bfd.html notes 31-32. No KHI or public electrical figure exists for an ORV."
synthesis,haber_bosch,specific_energy_consumption,0.60,kWh/kg,0.5,0.7,"node B2; per kg NH3 produced - ASU (N2), syngas compression, synthesis loop, refrigeration; electrical",,ESTIMATE,"placeholder pending the internal Gentari NH3 dataset (decision D4). Excludes the H2 feed itself (node A) and any steam export credit."
synthesis,haber_bosch,hydrogen_loss,2,%,,,"node B2; purge gas / inerts, net of purge recovery",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
synthesis,haber_bosch,heat_export_credit,,kWh/kg,,,"node B2; exothermic synthesis heat recoverable as steam",,needs-source,"NOT modelled - carried as an explicit gap. Including it would lower the NH3 chain's net penalty."
loading_terminal,nh3_export_terminal,boil_off_rate_at_rest,0.04,%/day,,,"node C2; refrigerated NH3 at ~ -33 C, atmospheric",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
loading_terminal,nh3_export_terminal,storage_days,5,day,,,"node C2; average inventory hold time",,ASSUMPTION,"placeholder; matched to the LH2 side so the two chains are compared on equal hold time"
loading_terminal,nh3_export_terminal,bog_reliquefaction_sec,0.25,kWh/kg,,,"node C2/E2; per kg NH3 BOG re-liquefied (refrigeration compressor)",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
shipping,nh3_carrier,service_speed,30.0,km/h,,,"node D2; ~16 knots, mid-size gas carrier",,ESTIMATE,"placeholder; set close to the LH2 carrier speed so voyage time is not the differentiator by construction"
shipping,nh3_carrier,voyage_boil_off_rate,0.04,%/day,,,"node D2; laden leg",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
